id,案件名称,来源类型,来源作品/事件,作者/创作者,地区,年代,案件状态,一句话简介,录入状态,难度综合
case-131,白雪公主杀人事件,影视,电影《白雪公主杀人事件》,中村义洋,日本,2014年,已破案,化妆品公司女职员三木典子在公园被刺死并焚尸，同事城野美姬成为嫌疑人，电视台导演赤星雄治通过网络和采访调查此案，最后发现真凶另有其人，而美姬只是网络暴力的受害者。,故事完成,5.0
case-129,祈祷落幕时,影视,电影《祈祷落幕时》,福泽克雄,日本,2018年,已破案,东京某公寓发现一具高度腐烂的女尸，刑警松宫修平调查发现案件与著名舞台剧导演浅居博美有关，逐渐揭开了一段跨越26年的父女逃亡和多重身份的悲剧故事。,故事完成,5.0
case-128,冰血暴,影视,电影《冰血暴》,科恩兄弟,欧美,1996年,已破案,汽车销售杰里·伦德加德为了骗取岳父的赎金，雇佣两个绑匪绑架了自己的妻子，但计划失控，引发了一系列血腥谋杀，怀孕女警玛戈·冈德森最终破案。,故事完成,4.0
case-124,小岛惊魂,影视,电影《小岛惊魂》,亚历杭德罗·阿梅纳瓦尔,欧美,2001年,已破案,二战结束后，格蕾丝带着两个孩子住在泽西岛的一座大宅里，她坚信房子里有鬼魂，最后发现她和孩子们才是真正的鬼魂，而他们以为的'活人'才是真正的活人。,故事完成,5.0
case-122,恐怖游轮,影视,电影《恐怖游轮》,克里斯托弗·史密斯,欧美,2009年,已破案,单亲母亲杰西和朋友登上一艘游艇，遭遇风暴后登上一艘废弃的游轮，然后陷入了无限循环的时间漩涡中，她发现自己必须杀死所有人才能打破循环。,故事完成,5.0
case-126,搏击俱乐部,影视,电影《搏击俱乐部》,大卫·芬奇,欧美,1999年,已破案,一个对生活感到空虚的白领遇到了肥皂推销员泰勒·德顿，两人创立了'搏击俱乐部'，最后发现泰勒就是他自己分裂出来的人格，他一直在与自己的影子作斗争。,故事完成,5.0
case-137,看不见的客人,影视,电影《看不见的客人》,奥里奥尔·保罗,欧美,2016年,已破案,年轻企业家艾德里安被指控在酒店房间里谋杀了他的情人劳拉，他聘请了顶级律师弗吉尼亚为他辩护，在对话中逐渐揭开了一个涉及车祸、藏尸、谋杀和复仇的复杂真相，最后发现律师其实是受害者的母亲伪装的。,故事完成,5.0
case-118,禁闭岛,影视,电影《禁闭岛》,马丁·斯科塞斯,欧美,2010年,已破案,联邦警官泰迪·丹尼尔斯前往禁闭岛精神病院调查一名失踪女病人，随着调查深入，他发现自己才是真正的病人，整个调查都是他的妄想。,故事完成,5.0
case-121,穆赫兰道,影视,电影《穆赫兰道》,大卫·林奇,欧美,2001年,已破案,一个怀揣明星梦的女孩贝蒂来到好莱坞，遇到了因车祸失忆的神秘女子丽塔，两人一起寻找丽塔的身份，最后发现整个故事是一个失败女演员戴安娜的梦境，她在现实中雇佣杀手杀死了情敌卡米拉。,故事完成,5.0
case-123,第六感,影视,电影《第六感》,M·奈特·沙马兰,欧美,1999年,已破案,儿童心理学家马尔科姆试图帮助一个能看到死人的男孩科尔，最后发现马尔科姆自己在一年前就已经被他的一个病人枪杀死亡，他一直以鬼魂的形态存在。,故事完成,5.0
case-127,老无所依,影视,电影《老无所依》,科恩兄弟,欧美,2007年,已破案,越战老兵卢埃林·莫斯在毒品交易现场捡到一箱200万美元，被冷血杀手安东·奇古尔追杀，老警长埃德·汤姆试图保护莫斯，但最终发现自己已经无法理解这个越来越暴力和混乱的世界。,故事完成,4.3
case-119,致命ID,影视,电影《致命ID》,詹姆斯·曼高德,欧美,2003年,已破案,11个陌生人在一场暴风雨中被困在一家汽车旅馆，然后一个接一个被杀害，最后发现所有人都是同一个多重人格障碍患者的不同人格，杀人是人格整合治疗的一部分。,故事完成,5.0
case-125,致命魔术,影视,电影《致命魔术》,克里斯托弗·诺兰,欧美,2006年,已破案,两个魔术师罗伯特·安吉尔和阿尔弗雷德·波登从朋友变成死敌，他们互相竞争、互相报复，最后揭示了波登的双胞胎秘密和安吉尔的克隆机秘密，两人都为魔术付出了生命的代价。,故事完成,5.0
case-120,记忆碎片,影视,电影《记忆碎片》,克里斯托弗·诺兰,欧美,2000年,已破案,患有顺行性遗忘症的莱昂纳多通过宝丽来照片和纹身来寻找杀害妻子的凶手，电影采用倒叙结构，最后发现他自己才是真正的凶手，他一直在利用自己的失忆来逃避真相。,故事完成,5.0
case-034,七宗罪,影视,七宗罪（Se7en）,,美国,当代（1980后）,已破案,两名警探追踪一名以七宗罪为主题的连环杀手，最终发现凶手的最后一宗罪是嫉妒，而受害者是自己。,待录入,4.5
case-036,控方证人,影视,控方证人（Witness for the Prosecution）,,美国,近现代（1900-1980）,已破案,男子被指控谋杀富婆，妻子作为控方证人出庭指证他，但真相是妻子在保护丈夫，真凶另有其人。,待录入,4.8
case-035,消失的爱人,影视,消失的爱人（Gone Girl）,,美国,当代（1980后）,已破案,妻子在结婚五周年纪念日失踪，所有证据都指向丈夫是凶手，但真相是妻子自导自演了一场复仇。,待录入,4.8
shutter-island,禁闭岛,影视,,,美国,2010,已完结,联邦法警调查禁闭岛上的精神病院，揭开自己的身份和治疗实验的真相。,初稿,5
mulholland-drive,穆赫兰道,影视,,,美国,2001,已完结,好莱坞的梦境与现实交织，失忆女子与追梦女孩的故事揭开欲望与死亡的真相。,初稿,5
identity,致命ID,影视,,,美国,2003,已完结,暴雨夜的汽车旅馆中十人接连被杀，身份谜团与多重人格交织。,初稿,5
memento,记忆碎片,影视,,,美国,2000,已完结,失忆男子为妻子复仇，倒叙叙事揭开记忆骗局和自我欺骗的真相。,初稿,5
case-037,非常嫌疑犯,影视,非常嫌疑犯（The Usual Suspects）,,美国,当代（1980后）,已破案,五名罪犯被警方召集辨认，其中四人在一场爆炸中死亡，唯一幸存者讲述了一个被神秘大佬Keyser Söze操控的故事，但真相是他就是Keyser Söze。,待录入,4.7
triangle,恐怖游轮,影视,,,英国,2009,已完结,单亲母亲登上神秘游轮，陷入无限循环的杀戮与救赎。,初稿,4
case-049,七个房间,推理小说,ZOO（七个房间）,乙一（安达宽高）,日本,2003年,已结案,姐弟被绑架关在地下七个房间中，每天有一个房间的人被电锯杀死，姐姐发现规律后牺牲自己让弟弟逃生。,已完成,3.3
case-049,从前，在太阳西沉的公园里,推理小说,ZOO（从前，在太阳西沉的公园里）,乙一（安达宽高）,日本,2003年,已结案,孩子在公园沙池里挖沙时，一只手从沙池底部伸出来握住他的手，在他手心写字求他拉自己上去，孩子拒绝后，那只手松开了，他再也没有去过那个公园。,已完成,2.7
case-049,动物园,推理小说,ZOO（动物园）,乙一（安达宽高）,日本,2003年,已结案,男人每天收到女友尸体逐渐腐烂的照片，疯狂寻找凶手，最终发现自己就是凶手，另一个人格一直在自导自演。,已完成,4.7
case-049,向阳之诗,推理小说,ZOO（向阳之诗）,乙一（安达宽高）,日本,2003年,已结案,末世中，制造者教机器人理解死亡，当兔子死去后机器人终于明白悲伤，却发现制造者自己也是一个等待死亡的机器人。,已完成,3.7
case-049,在即将坠落的飞机中,推理小说,ZOO（在即将坠落的飞机中）,乙一（安达宽高）,日本,2003年,已结案,懦弱的劫机者劫持飞机，两个乘客在'飞机即将坠落'的心理暗示下互相威胁要杀死对方，最终飞机安全降落，两人发现自己都没有勇气杀人。,已完成,3.3
case-049,寒冷森林中的小白屋,推理小说,ZOO（寒冷森林中的小白屋）,乙一（安达宽高）,日本,2003年,已结案,童年被继母虐待毁容的男人，长大后用尸体在森林里搭建了一座白色小屋，只为拥有一个属于自己的家。,已完成,3.0
case-049,小饰与阳子,推理小说,ZOO（小饰与阳子）,乙一（安达宽高）,日本,2003年,已结案,被母亲虐待的双胞胎妹妹，在被姐姐推下楼梯后，决定与姐姐交换身份，让虐待者自食其果。,已完成,3.7
case-049,把血液找出来！,推理小说,ZOO（把血液找出来！）,乙一（安达宽高）,日本,2003年,已结案,失去痛觉的富翁醒来发现身上插着刀，各怀鬼胎的家人为了遗产争相寻找救命血袋，黑色幽默下隐藏着凶手的身份。,已完成,4.0
case-049,神的咒语,推理小说,ZOO（神的咒语）,乙一（安达宽高）,日本,2003年,已结案,拥有'言灵'能力的少年，因为虚伪和自卑，用咒语让全世界的人都死去，然后对自己施咒，活在只有自己的幻想世界里。,已完成,4.0
case-049,衣橱,推理小说,ZOO（衣橱）,乙一（安达宽高）,日本,2003年,已结案,嫂子杀害小叔子后将尸体藏入衣橱，小姑子通过'无法打开的衣橱'这一矛盾推理出真相，却被嫂子的谎言反将一军。,已完成,4.7
case-049,远离的夫妇,推理小说,ZOO（远离的夫妇）,乙一（安达宽高）,日本,2003年,已结案,父母冷战到互相看不见对方，只有孩子能同时看到两人，最终孩子被迫选择一方，另一方从他的世界中彻底消失。,已完成,4.3
case-049,ZOO,推理小说,ZOO,,日本,当代（1980后）,已破案,乙一的短篇集，包含11个黑暗而温暖的故事，其中《ZOO》讲述了一个男人每天收到女友尸体的照片，却不知道自己就是凶手。,待录入,4.7
case-088,为了N,推理小说,湊佳苗作品,湊佳苗,日本,社会派（2000-至今）,已破案,圣诞夜，一对夫妻在公寓中被杀害，四个年轻人在现场。他们的证词互相矛盾，但都在保护同一个人——一个名字以N开头的人。,故事完成,4.3
proof-of-the-man,人性的证明,推理小说,,,日本,1976,已完结,黑人青年在东京酒店电梯中被刺死，栋居刑警追查真相，揭开母亲的人性证明。,初稿,3
case-080,八墓村,推理小说,金田一耕助系列,横沟正史,日本,战后本格（1945-1960）,已破案,一个被诅咒的村庄，四百年来村民一直活在对落难武士的恐惧中。当一个外来青年回到村庄继承遗产时，连环谋杀开始了。,故事完成,4.3
case-019,冰菓,推理小说,冰菓,,日本,当代（1980后）,已破案,古籍研究社社员调查三十三年前社长退学之谜，真相是一场被掩盖的学生运动和牺牲。,待录入,3.8
the-scissors-guy,剪刀男,推理小说,,,日本,1999,已完结,"连环杀手""剪刀男""的目标被别人抢先杀害，凶手自己开始追查模仿犯。",初稿,5
case-018,十角馆事件,推理小说,十角馆事件,,日本,近现代（1900-1980）,已破案,推理社团成员在十角馆度假，接连被杀，凶手利用双身份和摩托艇在岛与本土之间穿梭。,故事完成,4.3
case-015,占星术杀人魔法,推理小说,占星术杀人魔法,,日本,近现代（1900-1980）,已破案,画家留下占星术遗书后被杀，六个女儿相继失踪，被分尸埋在日本各地，四十年后御手洗洁破解惊天诡计。,故事完成,4.7
the-summer-when-sunflowers-didnt-bloom,向日葵不开的夏天,推理小说,,,日本,2005,已完结,同学的尸体神秘消失，转世成蜘蛛告诉男孩自己是被谋杀的，黑暗童话中的真相。,初稿,5
salvation-of-a-saint,圣女的救济,推理小说,,,日本,2008,已完结,"丈夫在家中被毒杀，妻子有完美不在场证明，汤川学揭开""虚数解""的不可能犯罪。",初稿,5
summer-fireworks-and-my-corpse,夏天、烟火和我的尸体,推理小说,,,日本,1996,已完结,九岁女孩被朋友推下树死亡，以尸体视角观察凶手们藏匿尸体的过程。,初稿,3
case-047,姑获鸟之夏,推理小说,姑获鸟之夏,,日本,近现代（1900-1980）,已破案,妇产科医院的院长夫人怀孕二十个月未生产，丈夫在密室中消失，京极堂揭开了一个被诅咒的家族秘密。,待录入,4.7
case-004,嫌疑人X的献身,推理小说,伽利略系列,,日本,当代（1980后）,已破案,天才数学家为暗恋的邻居掩盖杀人罪行，设计了完美的不在场证明，最终以自己顶罪。,完整,4.0
case-090,库特莉亚芙卡的排序,推理小说,冰菓系列,米泽穗信,日本,日常推理（2000-至今）,已破案,文化祭期间，古典部的社刊《冰菓》印多了卖不出去，同时学校里发生了一连串'盗窃'事件，每件被盗物品都对应着一个社团。折木奉太郎需要在卖社刊的同时，揭开这起'十文字'事件的真相。,故事完成,4.0
case-092,异邦骑士,推理小说,岛田庄司作品,岛田庄司,日本,新本格（1980-至今）,已破案,一个男人在陌生的地方醒来，失去了全部记忆。他遇到了一个美丽的女人，开始了新的生活，但逐渐发现自己的过去和这场'邂逅'都不是偶然。,故事完成,5.0
case-014,恶意,推理小说,恶意,,日本,当代（1980后）,已破案,畅销书作家在家中被杀，凶手很快落网，但杀人动机始终是谜，真相是纯粹的恶意。,待录入,4.7
case-081,恶魔吹着笛子来,推理小说,金田一耕助系列,横沟正史,日本,战后本格（1945-1960）,已破案,前子爵在密室中自杀后，他的家人开始接连被谋杀，每次谋杀前都能听到他留下的笛子曲《恶魔吹着笛子来》。,故事完成,5.0
case-089,愚者的片尾,推理小说,冰菓系列,米泽穗信,日本,日常推理（2000-至今）,已破案,古典部的成员们被学姐邀请观看一部学生制作的悬疑电影，电影没有拍完，他们需要根据已有的线索推理出电影的结局和凶手。,故事完成,4.3
case-087,所罗门的伪证,推理小说,宫部美雪作品,宫部美雪,日本,社会派（1980-至今）,已破案,中学生在圣诞节早晨发现同学坠楼身亡，警方判定为自杀。但一封告密信指控这是谋杀，于是学生们决定自己组织一场校内审判来查明真相。,故事完成,4.3
after-school,放学后,推理小说,,,日本,1985,已完结,女子高中的密室杀人案，前岛老师追查真相，揭开少女们的杀意和秘密。,初稿,4
case-016,斜屋犯罪,推理小说,斜屋犯罪,,日本,近现代（1900-1980）,已破案,在倾斜的流冰馆中发生密室杀人，凶手利用房屋的倾斜和机关完成不可能犯罪。,待录入,4.2
case-078,本阵杀人事件,推理小说,金田一耕助系列,横沟正史,日本,战后本格（1945-1960）,已破案,新婚之夜，新郎新娘在反锁的房间里被人用日本刀砍杀，房间周围的雪地上只有进入的脚印，没有离开的。,故事完成,4.7
case-086,模仿犯,推理小说,宫部美雪作品,宫部美雪,日本,社会派（1980-至今）,已破案,东京发生连环绑架杀人案，凶手主动联系媒体炫耀罪行。一个老人发现自己的孙女可能是受害者，而案件的真相远比想象中更复杂。,故事完成,5.0
case-085,火车,推理小说,宫部美雪作品,宫部美雪,日本,社会派（1980-至今）,已破案,一个女人在就职面试中盗用了别人的身份，随后被发现死在公寓里。记者调查发现，她的背后是一个关于借贷、破产和身份盗用的残酷社会现实。,故事完成,4.0
case-082,点与线,推理小说,松本清张作品,松本清张,日本,社会派（1950-1970）,已破案,一对男女在海边殉情，但刑警发现他们的车票和时间线存在微妙的矛盾，一场涉及政府腐败的谋杀逐渐浮出水面。,故事完成,4.7
case-079,犬神家族,推理小说,金田一耕助系列,横沟正史,日本,战后本格（1945-1960）,已破案,犬神家主去世后留下诡异遗嘱，三个外孙为了遗产和一个神秘女子的芳心互相残杀，每个人的死状都与犬神家的传家宝有关。,故事完成,5.0
case-051,狱门岛,推理小说,狱门岛,,日本,近现代（1900-1980）,已破案,金田一耕助来到孤岛狱门岛，调查三姐妹接连被杀的案件，真相涉及海盗后裔和疯狂的家族诅咒。,待录入,4.7
case-013,白夜行,推理小说,白夜行,,日本,近现代（1900-1980）,已破案,一对少年少女在长达十九年的时间里，以罪与爱共生，她在白天行走，他在黑夜中守护。,待录入,4.3
case-083,砂之器,推理小说,松本清张作品,松本清张,日本,社会派（1950-1970）,已破案,一位老刑警在东京被人用钝器打死，身份不明。调查揭开了一个关于出身、阶级和艺术的残酷故事，以及一个天才音乐家为了掩盖过去而犯下的罪行。,故事完成,4.3
case-017,钟表馆事件,推理小说,钟表馆事件,,日本,当代（1980后）,已破案,在充满钟表的建筑中，灵媒团队遭遇连环杀人，真相是建筑内外的时间流速不同。,待录入,4.7
case-091,镜中孤城,推理小说,辻村深月作品,辻村深月,日本,青春推理（2000-至今）,已破案,七个拒绝上学的中学生被吸入一座镜中的城堡，他们需要在一年内找到藏在城堡中的'祈愿之钥'，找到的人可以实现一个愿望。但随着探索深入，他们发现这座城堡和彼此之间有着意想不到的联系。,故事完成,4.3
case-084,零的焦点,推理小说,松本清张作品,松本清张,日本,社会派（1950-1970）,已破案,新婚丈夫在出差途中失踪，妻子独自前往金泽寻找，却发现丈夫有着不为人知的过去，而与他过去相关的人接连死亡。,故事完成,4.0
case-048,魍魉之匣,推理小说,魍魉之匣,,日本,近现代（1900-1980）,已破案,少女被火车撞后在医院神秘消失，连环分尸案接连发生，京极堂揭开了一个关于'匣中少女'的疯狂实验。,待录入,4.8
case-058,ABC谋杀案,推理小说,阿加莎·克里斯蒂作品,阿加莎·克里斯蒂,欧美,黄金时代（1920-1950）,已破案,波洛遭遇按字母顺序行凶的连环杀手，受害者身边都放着一本ABC铁路指南。,故事完成,4.0
case-065,人性记录,推理小说,波洛系列,阿加莎·克里斯蒂,欧美,黄金时代（1920-1950）,已破案,女演员请求波洛帮忙离婚，不久后她的丈夫被发现死在书房，而所有证据都指向女演员。,故事完成,4.3
case-060,啤酒谋杀案,推理小说,阿加莎·克里斯蒂作品,阿加莎·克里斯蒂,欧美,黄金时代（1920-1950）,已破案,十六年前的毒杀案，画家被毒啤酒毒死，妻子被判绞刑。十六年后女儿请求波洛重审旧案。,故事完成,3.7
case-077,布朗神父探案集,推理小说,G.K.切斯特顿作品,G.K.切斯特顿,欧美,黄金时代（1920-1950）,已破案,一位身材矮小、其貌不扬的天主教神父，凭借对人性的深刻理解，破解了一个个看似不可能的犯罪。,故事完成,4.0
case-067,怪屋,推理小说,阿加莎·克里斯蒂作品,阿加莎·克里斯蒂,欧美,黄金时代（1920-1950）,已破案,富裕的希腊裔老人在自家豪宅中被毒杀，整个扭曲的家族中每个人都有嫌疑，结局令人不寒而栗。,故事完成,4.3
case-064,悬崖山庄奇案,推理小说,波洛系列,阿加莎·克里斯蒂,欧美,黄金时代（1920-1950）,已破案,波洛在度假时遇到一位年轻女继承人，她声称自己多次遭遇意外，波洛介入后发现了更大的阴谋。,故事完成,4.0
case-068,无尽长夜,推理小说,阿加莎·克里斯蒂作品,阿加莎·克里斯蒂,欧美,黄金时代（1920-1950）,已破案,穷小子娶了富家女，在吉卜赛营地建起梦想之家，然而诅咒和悲剧接踵而至，结局令人心碎。,故事完成,4.0
case-069,时间的女儿,推理小说,约瑟芬·铁伊作品,约瑟芬·铁伊,欧美,黄金时代（1920-1950）,已破案,受伤住院的侦探格兰特无聊中研究理查三世的画像，开始质疑这位'驼背暴君'是否真的谋杀了塔中王子。,故事完成,3.7
case-066,死亡约会,推理小说,波洛系列,阿加莎·克里斯蒂,欧美,黄金时代（1920-1950）,已破案,专横的老妇人在佩特拉古城旅游时突然死亡，所有同行的家人都有嫌疑，波洛在24小时内破案。,故事完成,4.0
case-070,法兰柴思事件,推理小说,约瑟芬·铁伊作品,约瑟芬·铁伊,欧美,黄金时代（1920-1950）,已破案,一个15岁的女孩指控一对母女囚禁并殴打她，小镇舆论哗然，但律师逐渐发现真相并非如此简单。,故事完成,3.7
case-071,漫长的告别,推理小说,菲利普·马洛系列,雷蒙德·钱德勒,欧美,硬汉派（1930-1960）,已破案,私家侦探马洛在酒吧外遇到醉鬼特里，两人成为朋友。不久特里被指控杀妻，马洛帮他逃亡，却发现自己卷入了一个巨大的阴谋。,故事完成,3.7
case-076,特伦特最后一案,推理小说,E.C.本特利作品,E.C.本特利,欧美,黄金时代（1920-1950）,已破案,金融巨头在乡间别墅被枪杀，记者特伦特展开调查，他的推理看似完美，却在最后发现自己错了。,故事完成,4.7
case-074,瘦子,推理小说,尼克与诺拉系列,达希尔·哈米特,欧美,硬汉派（1930-1960）,已破案,退休侦探尼克和妻子诺拉在圣诞假期卷入一桩谋杀案，失踪的发明家、被枪杀的秘书、黑帮分子，所有人都有嫌疑。,故事完成,3.3
case-063,破镜谋杀案,推理小说,马普尔小姐系列,阿加莎·克里斯蒂,欧美,黄金时代（1920-1950）,已破案,著名女演员在自家宴会上目睹一名女子被毒杀，而那杯毒酒原本是给她的。,故事完成,3.7
case-075,红屋之谜,推理小说,A.A.米尔恩作品,A.A.米尔恩,欧美,黄金时代（1920-1950）,已破案,一座乡间别墅里，主人的哥哥被发现死在反锁的房间里，所有客人都有嫌疑，这是一场经典的密室杀人。,故事完成,4.0
case-062,藏书室女尸之谜,推理小说,马普尔小姐系列,阿加莎·克里斯蒂,欧美,黄金时代（1920-1950）,已破案,班特里上校家的藏书室里突然出现一具陌生女尸，打破了乡村的宁静，马普尔小姐出手调查。,故事完成,3.7
case-061,谋杀启事,推理小说,马普尔小姐系列,阿加莎·克里斯蒂,欧美,黄金时代（1920-1950）,已破案,小镇报纸上刊登一则谋杀启事，预告当晚将发生一场谋杀，居民们以为是玩笑，却真的有人死亡。,故事完成,4.0
case-072,长眠不醒,推理小说,菲利普·马洛系列,雷蒙德·钱德勒,欧美,硬汉派（1930-1960）,已破案,马洛受雇于一位年迈的将军，调查一桩敲诈案，却卷入了一个涉及谋杀、色情和黑帮的复杂网络。,故事完成,3.7
case-059,阳光下的罪恶,推理小说,阿加莎·克里斯蒂作品,阿加莎·克里斯蒂,欧美,黄金时代（1920-1950）,已破案,海岛度假胜地发生谋杀，美艳女演员在沙滩上被掐死，所有人都有不在场证明。,故事完成,3.7
case-073,马耳他之鹰,推理小说,塞缪尔·斯佩德系列,达希尔·哈米特,欧美,硬汉派（1930-1960）,已破案,私家侦探斯佩德的搭档在跟踪任务中被杀，他追查凶手时发现所有人都在争夺一只价值连城的黑色猎鹰雕像。,故事完成,3.7
case-010,X的悲剧,推理小说,X的悲剧,,美国,近现代（1900-1980）,已破案,证券商在拥挤电车上被毒杀，凶手在密室般的车厢中消失，退休演员哲瑞·雷恩破解连环杀人案。,待录入,4.3
the-tragedy-of-y,Y的悲剧,推理小说,,,美国,1932,已完结,疯狂家族中的连环谋杀案，哲瑞·雷恩揭开家族遗传病背后的悲剧真相。,初稿,5
case-011,三口棺材,推理小说,三口棺材,,美国,近现代（1900-1980）,已破案,密室之王的巅峰之作，双重密室杀人，死者在反锁书房中被枪击，凶手凭空消失。,待录入,4.7
double-indemnity,双重赔偿,推理小说,,,美国,1943,已完结,保险推销员与有夫之妇合谋杀害丈夫骗取双重赔偿，完美犯罪最终因贪婪破灭。,初稿,3
case-009,希腊棺材之谜,推理小说,希腊棺材之谜,,美国,近现代（1900-1980）,已破案,古董商死后遗嘱失踪，棺材里多出一具尸体，四重解答层层递进，真凶竟是检察官。,待录入,4.8
the-crooked-hinge,歪曲的枢纽,推理小说,,,美国,1938,已完结,真假男爵之争中的密室死亡案，机械义肢与身份谜团交织。,初稿,5
the-long-goodbye,漫长的告别,推理小说,,,美国,1953,已完结,私家侦探马洛为一个萍水相逢的朋友追查真相，卷入豪门阴谋与谋杀案。,初稿,3
the-burning-court,燃烧的法庭,推理小说,,,美国,1937,已完结,密室中的毒杀案与女巫传说交织，尸体从密封的墓室中神秘消失。,初稿,5
case-012,犹大之窗,推理小说,犹大之窗,,美国,近现代（1900-1980）,已破案,青年在反锁书房中醒来，发现未来岳父被箭射死，唯一的线索是门上的'犹大之窗'。,待录入,4.2
the-dutch-shoe-mystery,荷兰鞋之谜,推理小说,,,美国,1931,已完结,医院手术台上的百万富翁被勒死，埃勒里·奎因通过一只荷兰鞋识破凶手身份。,初稿,4
the-postman-always-rings-twice,邮差总按两次铃,推理小说,,,美国,1934,已完结,流浪汉与餐馆老板娘合谋杀害老板，多次尝试后成功，但命运的邮差最终按响了第二次门铃。,初稿,2
the-maltese-falcon,马耳他之鹰,推理小说,,,美国,1930,已完结,私家侦探斯佩德的搭档被杀，他追查真相，卷入争夺无价黑鹰的阴谋。,初稿,3
case-002,东方快车谋杀案,推理小说,赫尔克里波洛系列,,英国,近现代（1900-1980）,已破案,暴风雪中列车上的密室命案，12名乘客竟是共犯，波洛面临情与法的抉择。,完整,4.7
five-little-pigs,啤酒谋杀案,推理小说,,,英国,1942,已完结,十六年前的毒杀案，女儿为母翻案，波洛通过五个证人的回忆重构真相。,初稿,4
case-008,尼罗河上的惨案,推理小说,尼罗河上的惨案,,英国,近现代（1900-1980）,已破案,新婚夫妇在尼罗河游轮上遭遇谋杀，妻子的前男友是最大嫌疑人，真凶却是夫妻合谋。,故事完成,4.3
case-006,无人生还,推理小说,无人生还,,英国,近现代（1900-1980）,虚构结局,十个陌生人被邀请到孤岛，按照童谣逐一死去，无人生还，凶手竟是其中一人。,故事完成,4.5
case-007,罗杰疑案,推理小说,罗杰疑案,,英国,近现代（1900-1980）,已破案,叙述性诡计的开山之作，第一人称叙述者竟是凶手，读者全程被误导。,故事完成,4.7
case-001,血字的研究,推理小说,福尔摩斯探案集,,英国,古典（1900前）,已破案,福尔摩斯与华生的首次合作，一场横跨两大洲的复仇谋杀案。,完整,3.0
evil-under-the-sun,阳光下的罪恶,推理小说,,,英国,1941,已完结,度假小岛上的女明星被杀，所有人都有不在场证明，波洛识破时间诡计。,初稿,4
case-054,逃生,游戏,逃生,,加拿大,当代（1980后）,已破案,调查记者潜入废弃精神病院，用夜视摄像机记录恐怖真相，在疯狂中寻找逃生之路。,待录入,3.8
case-141,428：被封锁的涩谷,游戏,游戏《428 被封锁的涩谷》,Chunsoft,日本,2008年,已破案,涩谷发生一起绑架案，刑警、自由撰稿人、黑帮成员、病毒学家等多个人物的命运在10小时内交织在一起，玩家需要通过切换视角来解开一个涉及生物恐怖主义的巨大阴谋。,故事完成,5.0
case-157,428：被封锁的涩谷（续）,游戏,游戏《428 被封锁的涩谷》Bonus章节,Chunsoft,日本,2008年,已破案,在本篇故事结束后，游戏还有一个隐藏的Bonus章节——'铃音的故事'。这个章节揭示了本篇故事中一个神秘角色的真实身份和背景，以及她与整个阴谋的更深层联系。,故事完成,5.0
